17,0,0,0,0,0,
19,0,0,0,0,0,
20,0,0,0,0,0,
21,3,3,7,7,7,
22,0,0,0,1,1,
23,0,0,0,0,0,
25,0,0,0,0,0,
28,4,4,4,4,5,
34,4,4,4,8,8,
35,0,0,0,0,0,
43,0,0,0,0,0,
46,0,0,0,0,0,
51,1,1,1,1,5,
54,0,0,0,0,0,
55,0,0,0,0,0,
57,0,0,0,0,0,
59,1,7,7,7,7,
62,1,8,11,18,28,
75,0,0,0,0,0,
76,0,0,0,0,0,
83,1,1,1,1,1,
113,0,0,0,0,0,
156,0,0,0,0,1,
158,4,5,7,10,11,
160,0,0,0,0,1,
161,0,0,0,0,0,
207,0,0,0,0,0,
237,19,20,20,20,20,
261,6,9,9,35,47,
264,0,0,0,3,4,
266,0,0,0,0,0,
273,3,3,3,3,3,
281,0,0,0,0,0,
282,0,0,21,41,77,
286,0,0,0,0,0,
289,1,1,2,3,22,
290,0,2,8,39,77,
301,0,0,0,0,0,
302,0,0,0,2,3,
316,29,46,66,125,239,
320,0,0,12,42,84,
339,0,0,0,0,0,
341,0,0,0,0,0,
342,0,0,0,0,0,
345,0,0,1,7,11,
349,1,3,12,15,30,
364,1,2,3,5,20,
367,2,6,9,26,26,
368,25,55,87,186,393,
376,0,0,0,0,0,
378,1,2,4,11,22,
400,0,0,0,0,0,
421,0,0,0,0,0,
427,0,1,4,12,30,
430,12,17,35,36,113,
435,0,2,3,18,23,
489,0,0,0,0,0,
554,0,0,1,8,8,
568,0,0,0,0,0,
593,0,0,0,0,0,
715,0,0,0,0,0,
841,0,0,0,0,0,
900,1,1,1,1,1,
914,0,0,0,0,0,
916,0,0,0,0,0,
1472,2,2,2,2,2,
1568,11,19,48,68,177,
1644,0,0,0,0,0,
1738,0,1,3,17,30,
1754,0,0,0,0,0,
1881,0,0,0,0,0,
1982,0,0,0,0,0,
2167,0,0,0,0,0,
2169,8,8,8,9,12,
3055,1,1,2,2,2,
3128,0,0,0,0,0,
3309,1,1,1,1,10,
3311,2,2,8,10,13,
3398,7,8,25,44,98,
3399,0,0,0,0,0,
3407,1,1,6,12,16,
3408,25,34,52,75,130,
3448,0,0,0,0,0,
3501,0,0,0,0,0,
3748,0,0,0,0,0,
4109,0,0,0,0,0,
4213,0,0,0,0,0,
4219,0,0,0,0,0,
4234,2,2,2,7,11,
4249,5,11,13,16,21,
4258,0,0,0,5,14,
4259,5,7,7,8,19,
4261,0,0,0,0,0,
4270,0,0,1,5,13,
4275,2,2,3,3,3,
4285,14,33,58,169,342,
4310,0,0,3,47,117,
4324,0,0,0,0,0,
4332,0,0,0,0,0,
4334,0,0,0,0,0,
4340,2,9,17,100,205,
4350,2,3,3,4,30,
4351,0,0,0,0,0,
4376,1,2,3,25,34,
4393,0,0,0,0,0,
4521,0,2,6,13,26,
4528,0,0,0,0,0,
4530,0,0,0,1,3,
4640,0,3,8,14,17,
4655,0,5,10,18,23,
4858,10,14,18,22,27,
4874,0,8,13,24,45,
4879,5,14,32,190,329,
4880,0,11,12,20,39,
4884,9,11,31,41,67,
4890,4,8,13,36,46,
4907,0,2,3,3,8,
4908,1,2,3,3,3,
4947,4,4,4,4,4,
4955,0,0,0,0,0,
4964,0,0,0,3,15,
5130,30,30,30,30,30,
5356,0,0,1,4,13,
5695,0,2,2,4,7,
5762,0,0,0,0,0,
5820,2,3,3,6,45,
5828,23,79,127,157,255,
5857,0,0,0,0,0,
5868,0,0,0,0,0,
6160,0,0,0,0,0,
6231,0,0,0,0,0,
6266,0,0,0,0,0,
6275,3,6,11,12,15,
6283,0,0,1,12,25,
6292,3,4,5,5,6,
6344,0,0,4,4,8,
6612,1,1,1,1,1,
6705,0,0,0,1,32,
6818,0,2,2,2,5,
6820,0,0,0,0,0,
7047,0,0,0,0,0,
7155,1,3,4,4,9,
7241,0,0,0,0,0,
7371,0,0,0,0,0,
7645,0,0,0,0,0,
7728,0,5,21,77,216,
7748,0,0,0,0,0,
7858,0,0,0,0,0,
7882,0,0,0,0,0,
7927,0,0,0,0,0,
7939,0,0,0,0,0,
7958,0,0,0,0,0,
8050,7,7,16,28,31,
8053,0,0,0,0,0,
8258,0,0,0,0,0,
8317,0,0,0,0,0,
8574,0,2,4,4,4,
8605,0,0,0,0,0,
8634,6,10,12,13,35,
8661,0,0,0,0,0,
8671,0,0,0,0,0,
8689,0,0,0,0,0,
9006,0,0,0,0,0,
9042,0,0,0,0,0,
9083,1,3,7,10,11,
9293,0,0,0,0,0,
9376,0,0,0,0,0,
9407,0,0,0,0,0,
9468,0,0,0,0,0,
9547,0,0,8,15,32,
9667,1,10,23,41,71,
9698,2,17,24,42,80,
9711,12,21,91,165,285,
9714,0,0,0,0,0,
9731,0,0,0,0,0,
9809,0,0,0,0,0,
9872,0,0,0,0,0,
10041,0,0,0,0,0,
10076,0,0,0,0,0,
10078,0,0,0,0,0,
10081,0,3,7,9,9,
10099,2,2,15,21,53,
10116,2,8,10,16,24,
10138,3,6,7,7,8,
10193,0,0,0,0,0,
10200,0,0,0,0,0,
10321,0,0,0,0,0,
10324,0,0,0,0,0,
10367,0,0,0,0,0,
10495,0,0,0,0,0,
10693,0,0,0,0,0,
