18,1,189
21,1,193
22,1,194
28,2,192
30,1,191
34,1,193
45,1,193
50,1,191
51,1,189
59,4,190
62,1,192
70,1,189
76,1,189
79,1,193
83,2,192
93,1,194
155,1,189
158,1,192
160,1,189
161,1,188
165,1,189
168,1,189
187,1,189
237,7,190
248,1,189
261,3,192
264,1,189
268,1,189
273,2,190
282,2,193
289,2,192
290,2,190
299,1,189
302,1,193
316,3,190
320,5,190
344,1,194
345,1,189
346,1,189
349,2,192
358,1,192
364,2,192
367,2,189
368,4,190
376,2,192
378,2,190
419,1,193
427,2,193
430,6,190
432,2,190
435,2,192
446,1,189
447,1,193
554,1,189
627,1,188
639,1,195
669,1,189
697,1,194
708,1,189
722,1,194
753,1,193
900,1,189
906,1,194
1277,1,189
1412,1,189
1437,1,194
1462,1,194
1472,5,190
1479,1,189
1567,1,192
1568,6,190
1612,1,189
1738,2,193
1754,1,188
1784,1,194
1829,1,193
1916,2,193
1921,1,193
1931,1,189
2003,2,189
2070,1,189
2169,1,192
3055,1,189
3309,2,192
3311,2,192
3398,4,190
3407,2,190
3408,3,190
3507,1,189
3538,1,189
3776,1,195
4194,2,193
4234,1,192
4245,2,190
4249,2,192
4258,2,192
4259,3,190
4265,1,192
4270,2,192
4275,1,192
4285,5,190
4310,4,190
4316,1,193
4340,3,192
4350,2,190
4356,1,192
4376,2,192
4387,2,193
4427,1,189
4521,3,190
4530,2,192
4636,1,193
4640,2,193
4641,1,194
4655,1,189
4666,2,190
4667,1,193
4858,2,190
4874,3,190
4879,4,190
4880,3,190
4884,2,190
4890,2,192
4898,1,193
4907,2,193
4908,1,189
4947,1,189
4964,1,192
4971,1,189
4999,1,194
5017,1,195
5130,2,193
5356,2,192
5695,1,193
5751,3,190
5790,1,189
5795,1,192
5801,1,189
5819,2,190
5820,3,190
5828,5,190
5857,1,189
6274,1,192
6275,1,193
6283,1,192
6292,1,192
6344,1,192
6382,1,189
6612,1,193
6705,2,192
6818,1,189
6890,1,189
6914,2,192
6966,1,189
7071,1,194
7102,1,189
7122,1,194
7144,1,189
7155,1,189
7173,1,192
7471,1,189
7623,1,189
7728,4,190
7858,1,189
7901,2,192
8050,5,190
8098,1,193
8128,1,189
8249,1,189
8500,1,189
8574,1,189
8621,1,189
8634,6,190
8671,1,189
9021,1,189
9083,1,193
9398,1,189
9491,1,193
9547,5,190
9549,1,189
9667,2,190
9698,2,190
9711,4,190
9714,1,192
9731,2,190
9737,1,189
9781,2,192
9801,1,193
9833,1,189
10044,1,189
10076,1,193
10081,2,190
10099,2,190
10116,2,192
10138,2,190
10191,1,189
10208,1,192
10284,1,192
10323,1,192
10367,1,192
10388,1,189
10474,1,193
10575,1,189
10630,1,189
10666,1,194
