SKU编号,货物名称,入库单号,入库时间,库内保存天数,已经入库天数,2/3预警天数,过期SKU数量,当前库存数量
1096,海南青柠檬,ASN170704002,2017-07-05 19:08:00,7,5,4.69,120,919
996,简爱原味裸酸奶1.08Kg,ASN170627013,2017-06-27 15:10:11,9,13,6.03,156,1200
1090,零度果坊NFC芒果汁300ml,ASN170624014,2017-06-24 19:50:00,19,16,12.73,45,45
1091,零度果坊NFC西柚汁300ml,ASN170624014,2017-06-24 19:50:00,19,16,12.73,138,138
1092,零度果坊NFC奇异果汁300ml,ASN170624014,2017-06-24 19:50:00,19,16,12.73,216,216
