SKU编号,货物名称,入库单号,入库时间,库内保存天数,已经入库天数,2/3预警天数,过期SKU数量,当前库存数量
1014,刘老汉小吊瓜中果,ASN170716012,2017-07-16 18:22:00,5,8,3.35,4,1
866,泰国椰青,ASN170712018,2017-07-12 18:14:00,15,12,10.05,270,6474
866,泰国椰青,ASN170708013,2017-07-08 16:10:00,15,16,10.05,6204,6474
958,有好东西落花生,ASN170430006,2017-05-07 16:40:00,100,78,67.0,1139,1967
