SKU编号,货物名称,入库单号,入库时间,库内保存天数,已经入库天数,2/3预警天数,过期SKU数量,当前库存数量
971,水果鲜玉米,ASN170720001,2017-07-20 18:10:00,3,3,2.01,1200,6
1014,刘老汉小吊瓜中果,ASN170716012,2017-07-16 18:22:00,5,7,3.35,4,1
866,泰国椰青,ASN170712018,2017-07-12 18:14:00,15,11,10.05,270,8168
866,泰国椰青,ASN170708013,2017-07-08 16:10:00,15,15,10.05,7898,8168
958,有好东西落花生,ASN170430006,2017-05-07 16:40:00,100,77,67.0,1179,2007
