"1135","《爱探险的朵拉》票","80","100","ASN170707022","80","2017-07-08 16:08:00"
"994","霸蛮私房凉拌米粉","3552","270","ASN170705018","2640","2017-07-08 16:00:00"
"670","五彩野鸡蛋","2205","60","ASN170708012","2350","2017-07-08 16:00:00"
"972","海阳蜜瓜小果","1488","10","ASN170708011","2530","2017-07-08 15:14:00"
"970","海阳蜜瓜大果","1","10","ASN170708010","999","2017-07-08 15:06:00"
"848","乐纯抹茶三三三倍酸奶","48","3","ASN170708007","200","2017-07-08 14:48:00"
"849","乐纯芒果菠萝三三三倍酸奶","48","3","ASN170708007","200","2017-07-08 14:48:00"
"850","乐纯草莓蔓越莓三三三倍酸奶","48","3","ASN170708007","200","2017-07-08 14:48:00"
"851","乐纯榛子香草三三三倍酸奶","48","3","ASN170708007","200","2017-07-08 14:48:00"
"852","乐纯椰子玫瑰三三三倍酸奶","48","3","ASN170708007","200","2017-07-08 14:48:00"
"853","乐纯柠檬三三三倍酸奶","48","3","ASN170708007","200","2017-07-08 14:48:00"
"1123","Trudeau自动开盖油醋瓶--绿灰","192","1000","ASN170707012","192","2017-07-08 14:42:00"
"1124","Trudeau自动开盖油醋瓶--紫灰","192","1000","ASN170707012","192","2017-07-08 14:42:00"
"1125","Trudeau自动开盖油醋瓶--橙灰","192","1000","ASN170707012","192","2017-07-08 14:42:00"
"605","有好东西火龙果5斤装","273","10","ASN170705012","500","2017-07-08 11:48:00"
"604","有好东西火龙果8斤装","23","10","ASN170705012","99","2017-07-08 11:48:00"
"1081","慕纯母婴专用本色纸抽纸20包*330张","337","300","ASN170704008","500","2017-07-08 11:42:00"
"1082","慕纯母婴专用本色纸卷纸24卷*120g","389","300","ASN170704008","500","2017-07-08 11:42:00"
"1074","gululu智能水杯蓝色","11","1000","ASN170707013","1","2017-07-07 16:40:00"
"944","蓝莓","4","7","ASN170707021","1224","2017-07-07 16:24:01"
"670","五彩野鸡蛋","2205","60","ASN170707011","2390","2017-07-07 16:20:00"
"977","都乐超甜蕉","20","2","ASN170707003","60","2017-07-07 16:18:00"
"1011","红西柚","358","7","ASN170707003","400","2017-07-07 16:18:00"
"1099","25#新西兰金果","38","10","ASN170707003","50","2017-07-07 16:18:00"
"966","佳沛金果","758","10","ASN170707003","1240","2017-07-07 16:18:00"
"1107","美国车厘子","11","3","ASN170707006","186","2017-07-07 16:06:00"
"986","山竹","493","2","ASN170707006","600","2017-07-07 16:06:00"
"1107","美国车厘子","11","3","ASN170707015","93","2017-07-07 16:06:00"
"804","有好东西千禧圣女果","2","7","ASN170707010","90","2017-07-07 15:52:00"
"1133","达沃滋原味开心果200g","402","180","ASN170707004","500","2017-07-07 15:48:00"
"1133","达沃滋原味开心果200g","402","180","ASN170707016","4","2017-07-07 15:48:00"
"1030","东魁杨梅","107","2","ASN170707014","441","2017-07-07 15:40:00"
"1128","《白雪公主》票","107","100","ASN170707005","7","2017-07-07 15:20:00"
"1054","Bioleder 皮具护理膏","347","1000","ASN170707009","29","2017-07-07 14:40:00"
"1126","西域软糯柿椒酱","582","180","ASN170705014","672","2017-07-07 14:38:00"
"1127","西域软糯柿椒酱便携装","137","180","ASN170705014","137","2017-07-07 14:38:00"
"879","新新果园山楂优块","46860","90","ASN170705015","20798","2017-07-07 14:24:00"
"1122","原味葵花籽","1506","90","ASN170706012","3000","2017-07-07 14:22:00"
"729","有好东西枣夹核桃","676","120","ASN170706014","600","2017-07-07 14:06:00"
"996","简爱原味裸酸奶1.08Kg","1200","9","ASN170707007","90","2017-07-07 13:46:01"
"997","简爱益生菌裸酸奶120g*4","1154","9","ASN170707007","144","2017-07-07 13:46:01"
"1069","简爱高蛋白酸奶100g*3","540","9","ASN170707007","240","2017-07-07 13:46:01"
"1072","简爱裸酸奶勺子","4896","1000","ASN170707007","300","2017-07-07 13:46:01"
"1052","海南桥沙地瓜","523","10","ASN170626006","2400","2017-07-06 18:38:00"
"965","重庆小面240g","2897","90","ASN170705004","3600","2017-07-06 17:44:00"
"1079","懿品福花生油","67","90","ASN170621027","100","2017-07-06 17:00:00"
"804","有好东西千禧圣女果","2","7","ASN170706005","100","2017-07-06 16:56:00"
"977","都乐超甜蕉","20","2","ASN170706006","60","2017-07-06 16:54:00"
"986","山竹","493","2","ASN170706006","1200","2017-07-06 16:54:00"
"1107","美国车厘子","11","3","ASN170706006","279","2017-07-06 16:54:00"
"994","霸蛮私房凉拌米粉","3552","270","ASN170706007","20","2017-07-06 15:46:01"
"994","霸蛮私房凉拌米粉","3552","270","ASN170705017","960","2017-07-06 15:46:00"
"1108","霸蛮筷子","1500","365","ASN170705017","1500","2017-07-06 15:46:00"
"950","霸蛮小菜四合一70g","825","180","ASN170705017","500","2017-07-06 15:46:00"
"945","霸蛮黄牛肉米粉","1324","180","ASN170705017","1560","2017-07-06 15:46:00"
"1128","《白雪公主》票","107","100","ASN170705016","100","2017-07-05 20:02:03"
"1096","海南青柠檬","919","7","ASN170704002","799","2017-07-05 19:08:00"
"820","有好东西瑶鸡","314","90","ASN170628010","204","2017-07-05 18:32:00"
"670","五彩野鸡蛋","2205","60","ASN170705011","2385","2017-07-05 17:18:00"
"997","简爱益生菌裸酸奶120g*4","1154","9","ASN170705010","15","2017-07-05 17:02:00"
"1069","简爱高蛋白酸奶100g*3","540","9","ASN170705010","12","2017-07-05 17:02:00"
"996","简爱原味裸酸奶1.08Kg","1200","9","ASN170705002","54","2017-07-05 16:58:00"
"997","简爱益生菌裸酸奶120g*4","1154","9","ASN170705002","336","2017-07-05 16:58:00"
"1069","简爱高蛋白酸奶100g*3","540","9","ASN170705002","60","2017-07-05 16:58:00"
"804","有好东西千禧圣女果","2","7","ASN170705008","90","2017-07-05 16:44:00"
"1072","简爱裸酸奶勺子","4896","1000","ASN170626012","7300","2017-07-05 16:38:00"
"1043","玫瑰苹果","574","10","ASN170705001","620","2017-07-05 16:14:00"
"1099","25#新西兰金果","38","10","ASN170705001","50","2017-07-05 16:14:00"
"966","佳沛金果","758","10","ASN170705001","1240","2017-07-05 16:14:00"
