商品编码,商品名称,商品批次,库存数量,可支配数量,单位
10000286,有好东西姜母红糖,20160805,30,30,袋
10000287,有好东西巢蜜,20160805,9,9,盒
10000290,有好东西火龙果5斤装,2016-08-08,75,75,箱
10000291,有好东西火龙果8斤装,2016-08-08,9,9,箱
10000298,有好东西平谷大桃,20160808,21,21,箱
10000299,有好东西大黄桃,20160808,17,17,箱
10000300,有好东西黄桃,20160808,14,14,箱
10000301,有好东西蟠桃,20160808,32,32,箱
10000302,有好东西油桃,20160808,20,20,箱
10000303,有好东西金奇异果整件(25#),20160808,82,82,箱
10000288,有好东西每日坚果,20160809,13,13,盒
10000304,有好东西金奇异果整件(33#),20160809,516,516,个
10000287,有好东西巢蜜,2016-08-10,89,89,盒
10000288,有好东西每日坚果,2016-08-11,2,2,盒
10000287,有好东西巢蜜,2016-08-11,2,2,盒
