"商品编码","商品名称","商品批次","库存数量","可支配数量","单位"
"yhdx616","有好东西巢蜜（2盒）","201609203","14","14","盒"
"yhdx623","有好东西玫瑰苹果 （12粒装）","201609237","1286","1286","个"
"yhdx663","玫瑰红糖","201610082","4","4","袋"
"yhdx664","原味红糖","201610082","52","52","袋"
"yhdx663","玫瑰红糖","201610131","96","96","袋"
"yhdx664","原味红糖","201610131","96","96","袋"
"yhdx682","南果梨","20161016","30","30","斤"
"yhdx645","有好东西蜜梨","20161018","4","4","箱"
"yhdx684","库尔勒香梨","20161018","1","0","箱"
"yhdx645","有好东西蜜梨","20161018","1","0","箱"
"yhdx622","有好东西板栗10袋装","20161018","577","577","袋"
"yhdx665","红薯","201610191","7","0","箱"
"yhdx682","南果梨","201610197","506","506","斤"
"yhdx677","福建肉燕","201610211","102","102","袋"
"yhdx662","姜母红糖","201610213","75","75","袋"
"yhdx622","有好东西板栗10袋装","201610222","20","20","袋"
"yhdx677","福建肉燕","201610211","60","0","袋"
"yhdx691","有好东西猫山王速冻榴莲","201610233","126","126","盒"
"yhdx692","有好东西小猫王速冻榴莲","201610233","126","126","盒"
"yhdx691","有好东西猫山王速冻榴莲","201610233","1","0","盒"
"yhdx662","姜母红糖","201610235","32","32","袋"
"yhdx687","蜜梨福梨组合装","201610235","99","99","箱"
"yhdx690","有好东西软籽石榴","201610244","5","5","箱"
"yhdx618","有好东西每日坚果","201610249","71","71","袋"
"yhdx699","有好东西王林苹果","201610262","68","68","箱"
"yhdx614","有好东西西柚（6粒装）","201610266","2","2","个"
"yhdx621","有好东西百香果","201610266","13","13","斤"
"yhdx697","有好东西黑木耳","201610268","122","122","箱"
"yhdx695","有好东西红心蜜柚","201610273","139","139","箱"
"yhdx683","沾化冬枣","201610276","31","31","箱"
"yhdx686","9斤家庭装","201610281","5","5","箱"
"yhdx689","有好东西舟山带鱼","201610285","644","644","盒"
"yhdx702","有好东西帆立贝柱","201610285","152","152","盒"
"yhdx689","有好东西舟山带鱼","201610285","24","0","盒"
"yhdx608","有好东西牛油果（6粒装）","201610288","116","116","个"
"yhdx702","有好东西帆立贝柱","201610285","7","0","盒"
"yhdx667","榴莲千层","201610289","2","0","箱"
"yhdx690","有好东西软籽石榴","20161028","1","1","箱"
"yhdx677","福建肉燕","201610301","60","60","袋"
"yhdx677","福建肉燕","20161030","600","600","袋"
"yhdx605","有好东西火龙果5斤装","201610302","20","20","箱"
"yhdx604","有好东西火龙果8斤装","201610302","5","5","箱"
"yhdx679","乐纯希腊酸奶","201610302","30","0","盒"
"yhdx696","有好东西徐香猕猴桃","201610314","289","289","箱"
"yhdx618","有好东西每日坚果","201610311","400","400","袋"
