发放时间,渠道,金额,数量,团长ID,团长人数,优惠券编号
2017-12-04 14:52:04,gaoqiwei,1000,2,"171502,879664,36797,190773,539524,682324,828001,848726,878440,889445,613583",11,7284
2017-12-06 16:49:43,gaoqiwei,1000,8,613583,1,7284
2017-12-06 16:50:07,gaoqiwei,1000,5,"812987,12385,29561",3,7284
2017-12-06 16:50:31,gaoqiwei,1000,3,"828001,47345,852811,627229,882661",5,7284
2017-12-06 21:24:22,gaoqiwei,1000,2,114508,1,7285
2017-12-07 10:37:10,gaoqiwei,1000,2,244157,1,7285
2017-12-07 15:40:33,gaoqiwei,1000,5,683906,1,7285
2017-12-07 16:08:47,gaoqiwei,1000,2,295728,1,7285
2017-12-07 22:36:54,gaoqiwei,1000,3,186773,1,7285
2017-12-08 09:13:59,gaoqiwei,1000,5,19789,1,7285
2017-12-08 10:27:53,gaoqiwei,1000,5,303181,1,7284
2017-12-08 10:28:05,gaoqiwei,1000,2,878377,1,7284
2017-12-08 13:48:41,gaoqiwei,1000,2,71625,1,7284
2017-12-08 16:49:07,gaoqiwei,1000,10,304999,1,7284
2017-12-08 17:22:54,gaoqiwei,1000,1,53139,1,7284
2017-12-08 22:00:00,gaoqiwei,1000,2,198633,1,7285
2017-12-09 10:56:30,gaoqiwei,1000,5,119568,1,7285
2017-12-09 10:56:30,gaoqiwei,1000,5,119568,1,7285
2017-12-09 11:26:19,gaoqiwei,1000,2,127849,1,7285
2017-12-09 19:20:32,gaoqiwei,1000,5,721791,1,7285
2017-12-09 19:58:21,gaoqiwei,1000,3,333139,1,7285
2017-12-11 10:07:43,gaoqiwei,1000,1,127849,1,7285
2017-12-11 11:12:04,gaoqiwei,1000,2,114260,1,7285
2017-12-11 11:38:34,gaoqiwei,1000,2,127849,1,7285
2017-12-11 15:14:35,gaoqiwei,1000,2,48416,1,7285
2017-12-11 22:49:31,gaoqiwei,1000,2,71625,1,7285
2017-12-12 10:48:27,gaoqiwei,1000,5,24740,1,7285
2017-12-12 10:55:06,gaoqiwei,1000,5,47991,1,7285
2017-12-12 11:37:54,gaoqiwei,1000,2,322102,1,7285
2017-12-12 14:19:15,gaoqiwei,1000,5,12385,1,7284
2017-12-12 14:19:31,gaoqiwei,1000,8,878377,1,7284
2017-12-12 14:19:46,gaoqiwei,1000,5,303181,1,7284
2017-12-12 14:20:00,gaoqiwei,1000,2,51054,1,7284
2017-12-12 16:21:56,gaoqiwei,1000,5,177475,1,7285
2017-12-12 18:49:40,gaoqiwei,1000,2,322275,1,7285
2017-12-13 10:36:21,gaoqiwei,1000,1,193112,1,7285
2017-12-13 18:37:52,gaoqiwei,1000,2,632392,1,7285
2017-12-15 10:30:49,gaoqiwei,1000,2,186773,1,7285
2017-12-15 15:21:29,gaoqiwei,1000,1,"48416,570400",2,7285
2017-12-15 15:32:14,gaoqiwei,1000,1,130525,1,7285
2017-12-15 15:54:38,gaoqiwei,1000,5,280038,1,7285
2017-12-15 18:59:45,gaoqiwei,1000,1,47991,1,7285
2017-12-15 21:14:00,gaoqiwei,1000,1,704753,1,7285
2017-12-16 15:24:20,gaoqiwei,1000,5,40858,1,7285
2017-12-16 15:32:29,gaoqiwei,1000,1,51586,1,7285
2017-12-16 17:22:53,gaoqiwei,1000,2,51586,1,7285
2017-12-17 09:09:47,gaoqiwei,1000,5,48416,1,7285
2017-12-17 21:08:55,gaoqiwei,1000,1,500704,1,7285
2017-12-17 21:08:55,gaoqiwei,1000,1,500704,1,7285
2017-12-17 23:25:43,gaoqiwei,1000,1,36037,1,7285
2017-12-18 14:49:20,gaoqiwei,1000,2,437111,1,7285
2017-12-18 15:11:56,gaoqiwei,1000,1,404710,1,7285
2017-12-18 17:34:06,gaoqiwei,1000,5,35987,1,7285
2017-12-18 17:34:24,gaoqiwei,1000,3,37447,1,7285
2017-12-18 18:01:15,gaoqiwei,1000,1,36797,1,7285
2017-12-18 19:19:02,gaoqiwei,1000,2,39163,1,7285
2017-12-18 21:36:26,gaoqiwei,1000,2,19789,1,7285
2017-12-18 21:59:58,gaoqiwei,1000,1,193112,1,7285
2017-12-19 12:02:28,gaoqiwei,1000,3,103520,1,7285
2017-12-19 12:02:30,gaoqiwei,1000,3,103520,1,7285
2017-12-19 14:40:07,gaoqiwei,1000,20,51586,1,7285
2017-12-19 15:42:23,gaoqiwei,1000,6,51586,1,7285
2017-12-19 15:51:13,gaoqiwei,1000,5,133840,1,7285
2017-12-19 15:51:51,gaoqiwei,1000,2,23721,1,7285
2017-12-05 12:21:40,heya,1000,10,85184,1,7410
2017-12-08 13:36:18,heya,1000,10,46325,1,7410
