2017-12-01 11:51:46,bingbing,a:6:{s:1:p;i:1;s:3:num;i:5;s:8:couponid;i:7236;s:7:salerid;s:6:364063;s:5:money;s:4:1000;s:4:time;i:1512100306;}
2017-12-01 12:38:41,bingbing,a:6:{s:1:p;i:1;s:3:num;i:3;s:8:couponid;i:7236;s:7:salerid;s:5:12187;s:5:money;s:4:1000;s:4:time;i:1512103121;}
2017-12-01 17:34:33,bingbing,a:6:{s:1:p;i:1;s:3:num;i:1;s:8:couponid;i:7236;s:7:salerid;s:6:356272;s:5:money;s:4:1000;s:4:time;i:1512120873;}
2017-12-02 19:50:40,bingbing,a:6:{s:1:p;i:1;s:3:num;i:3;s:8:couponid;i:7236;s:7:salerid;s:6:779353;s:5:money;s:4:1000;s:4:time;i:1512215440;}
2017-12-04 13:37:56,bingbing,a:6:{s:1:p;i:1;s:3:num;i:1;s:8:couponid;i:7236;s:7:salerid;s:6:882102;s:5:money;s:4:1000;s:4:time;i:1512365876;}
2017-12-04 13:38:05,bingbing,a:6:{s:1:p;i:1;s:3:num;i:1;s:8:couponid;i:7236;s:7:salerid;s:6:882102;s:5:money;s:4:1000;s:4:time;i:1512365885;}
2017-12-05 13:10:00,bingbing,a:6:{s:1:p;i:1;s:3:num;i:4;s:8:couponid;i:7236;s:7:salerid;s:6:662829;s:5:money;s:4:1000;s:4:time;i:1512450600;}
2017-12-06 13:34:15,bingbing,a:6:{s:1:p;i:1;s:3:num;i:2;s:8:couponid;i:7388;s:7:salerid;s:6:356313;s:5:money;s:4:1500;s:4:time;i:1512538455;}
2017-12-06 14:35:50,bingbing,a:6:{s:1:p;i:1;s:3:num;i:2;s:8:couponid;i:7455;s:7:salerid;s:6:356272;s:5:money;s:4:1000;s:4:time;i:1512542150;}
2017-12-06 18:27:52,bingbing,a:6:{s:1:p;i:1;s:3:num;i:2;s:8:couponid;i:7236;s:7:salerid;s:6:636410;s:5:money;s:4:1000;s:4:time;i:1512556072;}
2017-12-07 10:14:03,bingbing,a:6:{s:1:p;i:1;s:3:num;i:2;s:8:couponid;i:7488;s:7:salerid;s:6:872993;s:5:money;s:4:1000;s:4:time;i:1512612843;}
2017-12-07 11:21:57,bingbing,a:6:{s:1:p;i:1;s:3:num;i:2;s:8:couponid;i:7488;s:7:salerid;s:6:872993;s:5:money;s:4:1000;s:4:time;i:1512616917;}
2017-12-07 12:24:04,bingbing,a:6:{s:1:p;i:1;s:3:num;i:2;s:8:couponid;i:7488;s:7:salerid;s:6:882102;s:5:money;s:4:1000;s:4:time;i:1512620644;}
2017-12-07 15:29:38,bingbing,a:6:{s:1:p;i:1;s:3:num;i:1;s:8:couponid;i:7488;s:7:salerid;s:6:887867;s:5:money;s:4:1000;s:4:time;i:1512631778;}
2017-12-07 15:29:47,bingbing,a:6:{s:1:p;i:1;s:3:num;i:1;s:8:couponid;i:7488;s:7:salerid;s:6:833996;s:5:money;s:4:1000;s:4:time;i:1512631787;}
2017-12-07 15:30:47,bingbing,a:6:{s:1:p;i:1;s:3:num;i:1;s:8:couponid;i:7488;s:7:salerid;s:6:760913;s:5:money;s:4:1000;s:4:time;i:1512631847;}
