"2017-04-24 17:53:27","237","a:2:{s:3:""key"";s:3:""芒"";s:4:""type"";s:6:""leader"";}","294"
"2017-04-24 17:53:21","237","a:2:{s:3:""key"";s:3:""芒"";s:4:""type"";s:6:""leader"";}","294"
"2017-04-24 17:53:20","237","a:2:{s:3:""key"";s:6:""芒果"";s:4:""type"";s:6:""leader"";}",
"2017-04-24 17:52:41","237843","a:2:{s:3:""key"";s:3:""蜜"";s:4:""type"";s:0:"""";}","536,372,485,496,389,346"
"2017-04-24 17:51:29","70871","a:2:{s:3:""key"";s:6:""蜂蜜"";s:4:""type"";s:0:"""";}","485,496"
"2017-04-24 17:51:19","137351","a:2:{s:3:""key"";s:3:""青"";s:4:""type"";s:6:""leader"";}","513,391,505"
"2017-04-24 17:50:50","19575","a:2:{s:3:""key"";s:3:""奶"";s:4:""type"";s:6:""leader"";}","522,518,385"
"2017-04-24 17:50:36","19575","a:2:{s:3:""key"";s:3:""奶"";s:4:""type"";s:6:""leader"";}","522,518,385"
"2017-04-24 17:50:33","17654","a:2:{s:3:""key"";s:9:""小笼包"";s:4:""type"";s:0:"""";}","517"
"2017-04-24 17:50:29","137351","a:2:{s:3:""key"";s:3:""青"";s:4:""type"";s:6:""leader"";}","513,391,505"
"2017-04-24 17:50:27","27980","a:2:{s:3:""key"";s:3:""蚬"";s:4:""type"";s:6:""leader"";}","492"
"2017-04-24 17:50:14","27980","a:2:{s:3:""key"";s:3:""蚬"";s:4:""type"";s:6:""leader"";}","492"
"2017-04-24 17:48:54","137351","a:2:{s:3:""key"";s:3:""青"";s:4:""type"";s:6:""leader"";}","513,391,505"
"2017-04-24 17:48:12","137351","a:2:{s:3:""key"";s:3:""青"";s:4:""type"";s:6:""leader"";}","513,391,505"
"2017-04-24 17:48:06","89968","a:2:{s:3:""key"";s:6:""榴莲"";s:4:""type"";s:0:"""";}",
"2017-04-24 17:47:37","11770","a:2:{s:3:""key"";s:9:""百香果"";s:4:""type"";s:0:"""";}","345"
"2017-04-24 17:47:32","137351","a:2:{s:3:""key"";s:3:""青"";s:4:""type"";s:6:""leader"";}","513,391,505"
"2017-04-24 17:47:31","11770","a:2:{s:3:""key"";s:9:""百香果"";s:4:""type"";s:0:"""";}","345"
"2017-04-24 17:46:43","27980","a:2:{s:3:""key"";s:3:""海"";s:4:""type"";s:6:""leader"";}","533,522,404,514,294,326,405"
"2017-04-24 17:46:30","27980","a:2:{s:3:""key"";s:3:""海"";s:4:""type"";s:6:""leader"";}","533,522,404,514,294,326,405"
"2017-04-24 17:46:28","81255","a:2:{s:3:""key"";s:9:""火龙果"";s:4:""type"";s:0:"""";}","326"
"2017-04-24 17:46:16","27980","a:2:{s:3:""key"";s:3:""海"";s:4:""type"";s:6:""leader"";}","533,522,404,514,294,326,405"
"2017-04-24 17:46:02","430","a:2:{s:3:""key"";s:3:""三"";s:4:""type"";s:6:""leader"";}","509,462"
"2017-04-24 17:45:34","430","a:2:{s:3:""key"";s:3:""三"";s:4:""type"";s:6:""leader"";}","509,462"
"2017-04-24 17:45:28","89968","a:2:{s:3:""key"";s:6:""榴莲"";s:4:""type"";s:0:"""";}",
"2017-04-24 17:45:17","133249","a:2:{s:3:""key"";s:6:""椰青"";s:4:""type"";s:0:"""";}","505"
"2017-04-24 17:44:29","249740","a:2:{s:3:""key"";s:6:""酸奶"";s:4:""type"";s:6:""leader"";}","385"
"2017-04-24 17:44:19","133249","a:2:{s:3:""key"";s:6:""椰青"";s:4:""type"";s:0:"""";}","505"
"2017-04-24 17:43:59","263820","a:2:{s:3:""key"";s:6:""红薯"";s:4:""type"";s:0:"""";}",
"2017-04-24 17:43:56","263820","a:2:{s:3:""key"";s:9:""西红薯"";s:4:""type"";s:0:"""";}",
"2017-04-24 17:43:51","263820","a:2:{s:3:""key"";s:3:""西"";s:4:""type"";s:0:"""";}","523,505"
"2017-04-24 17:43:48","263820","a:2:{s:3:""key"";s:3:""西"";s:4:""type"";s:0:"""";}","523,505"
"2017-04-24 17:43:32","27980","a:2:{s:3:""key"";s:3:""伦"";s:4:""type"";s:6:""leader"";}","538"
"2017-04-24 17:42:50","249740","a:2:{s:3:""key"";s:6:""酸奶"";s:4:""type"";s:6:""leader"";}","385"
"2017-04-24 17:42:45","27980","a:2:{s:3:""key"";s:3:""伦"";s:4:""type"";s:6:""leader"";}","538"
"2017-04-24 17:42:41","171026","a:2:{s:3:""key"";s:6:""腐竹"";s:4:""type"";s:0:"""";}","528"
"2017-04-24 17:41:59","17200","a:2:{s:3:""key"";s:3:""米"";s:4:""type"";s:6:""leader"";}","424,408,391"
"2017-04-24 17:41:35","238669","a:2:{s:3:""key"";s:6:""椰汁"";s:4:""type"";s:6:""leader"";}",
"2017-04-24 17:41:32","257124","a:2:{s:3:""key"";s:6:""凤梨"";s:4:""type"";s:6:""leader"";}",
"2017-04-24 17:41:08","171026","a:2:{s:3:""key"";s:6:""腐竹"";s:4:""type"";s:0:"""";}","528"
