"18","7&0.07","2&0.02","14&0.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","8&554.00","1&89.00","24&994.28","10&1259.00","45&5400.00","32&2739.60","60&5943.40","60&8753.70","31&3170.10","25&2141.60","40&3121.30","34&3465.50","5&406.80","0","0","0","0","0","0","0","7&1261.60","0"
"22","1&0.03","3&0.03","19&0.19","22&178.35","8&427.04","5&0.05","0","1&0.01","0","0","2&79.91","3&269.70","3&129.82","0","2&0.02","1&75.00","3&69.91","9&637.20","33&2857.50","10&362.65","17&476.11","9&9723.61","10&893.30"
"28","0","0","0","0","0","4&359.00","2&149.80","0","0","0","15&1178.90","3&296.90","0","3&246.00","7&575.70","13&1057.30","9&1372.00","5&443.40","11&1193.30","9&862.10","11&2925.10","11&1081.00","23&2178.60"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32&213.99","0"
"34","0","0","0","0","9&895.00","11&754.00","8&726.70","2&267.00","8&2921.71","0","0","1&80.00","0","0","0","3&225.00","0","0","0","0","0","1&119.90","0"
"45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&89.90","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24&303.80","8&570.70"
"51","1&0.01","0","0","0","0","0","0","1&89.90","5&361.80","2&241.00","0","3&208.00","1&49.90","0","4&337.70","2&98.00","2&335.80","2&111.00","6&706.90","1&59.90","9&686.40","0","9&948.40"
"59","0","0","0","7&572.00","23&3070.00","90&11419.00","82&10716.40","133&14220.10","98&8822.22","108&10267.80","118&13638.20","111&11623.30","70&9098.90","118&14089.80","174&18423.30","170&18511.10","211&23744.50","330&32877.50","233&23227.80","314&31855.70","400&46304.20","284&34173.90","449&41536.20"
