月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月
2016年1月,9,5,33,22,8,5,0,2,5,2,2,6,4,0,6,3,5,11,39,11,26,9
2016年2月,,35,8,337,143,364,501,812,1282,892,1848,2118,1348,1304,2561,2297,2792,2835,2362,3029,2905,2761
2016年3月,,,10,109,75,46,24,100,100,60,60,91,70,65,150,109,62,64,37,80,216,125
2016年4月,,,,283,88,137,87,173,116,133,146,138,81,135,225,185,238,342,257,332,416,300
2016年5月,,,,,303,644,656,693,1462,887,1697,1711,945,647,1693,1497,1611,1517,1265,1965,2405,1921
2016年6月,,,,,,627,785,1013,1329,1175,2604,2478,1426,1170,2215,1995,2004,1669,1689,2377,2758,2875
2016年7月,,,,,,,815,2032,2366,2116,3185,3327,2148,1814,4495,3963,4879,4127,4067,5067,5659,4402
2016年8月,,,,,,,,1113,2715,2777,4733,7630,4592,3517,7402,6480,7611,7238,7031,7621,9692,8366
2016年9月,,,,,,,,,953,1953,2977,3751,1694,1214,3394,3724,4255,4480,3770,4257,5690,4373
2016年10月,,,,,,,,,,1486,4421,5128,2446,1732,4575,4146,4407,3739,3512,4205,4930,4283
2016年11月,,,,,,,,,,,3356,7418,4136,2749,6021,4965,5286,5127,4324,4887,5164,4556
2016年12月,,,,,,,,,,,,4689,5567,3496,8869,7733,8723,7725,7020,7835,8365,7077
2017年1月,,,,,,,,,,,,,2172,1721,4397,3255,3506,2883,2706,2870,3386,2605
2017年2月,,,,,,,,,,,,,,1529,7983,6069,6956,6197,6097,7031,8563,6654
2017年3月,,,,,,,,,,,,,,,20860,32736,27935,24530,21033,25218,27506,22493
2017年4月,,,,,,,,,,,,,,,,22524,30245,23677,19924,22781,25953,19677
2017年5月,,,,,,,,,,,,,,,,,29283,36686,30309,32148,32968,25377
2017年6月,,,,,,,,,,,,,,,,,,23695,30762,28579,29156,20985
2017年7月,,,,,,,,,,,,,,,,,,,15345,20628,18318,12064
2017年8月,,,,,,,,,,,,,,,,,,,,20364,24061,14675
2017年9月,,,,,,,,,,,,,,,,,,,,,23880,22368
2017年10月,,,,,,,,,,,,,,,,,,,,,,15332
