"59","0","0","0","7","23","90","82","133","98","108","118","111","70","118","174","170","211","330"
"237","0","20","0","225","17","173","346","636","1023","720","1373","1552","970","1072","2161","2072","2503","2566"
"261","0","0","0","0","0","0","9","44","18","8","4","19","17","9","62","109","49","66"
"290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62","56","62","76"
"316","0","0","0","0","0","0","0","0","0","0","0","205","115","100","231","162","140","96"
"320","0","0","0","0","0","0","0","85","214","156","362","469","172","92","162","148","181","144"
"368","0","0","0","0","0","0","0","0","0","0","0","0","0","117","375","284","310","233"
"430","0","0","0","0","0","0","0","0","37","155","311","649","355","270","760","1010","938","1129"
"1472","0","2","0","56","108","123","101","88","188","130","445","510","301","221","369","198","207","263"
"1568","0","0","0","0","96","336","260","231","368","366","818","921","514","426","1099","888","931","919"
"4285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","364","605","541"
"4310","0","0","0","0","0","0","0","0","0","0","112","209","111","86","162","131","170","170"
"4387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","34","69"
"4521","0","0","0","0","0","0","2","36","20","26","21","20","27","11","52","41","64","69"
"4879","0","0","0","0","0","0","0","0","0","0","10","416","232","172","363","246","284","309"
"4880","0","0","0","0","0","0","0","0","44","33","123","203","79","72","151","152","160","95"
"5751","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79"
"5820","0","0","0","0","0","0","0","1","6","3","3","0","0","3","48","39","35","63"
"5828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143","209","192","166"
"7728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","242","149"
"8634","0","0","0","0","0","19","40","96","279","263","813","1008","556","684","1055","1011","1020","631"
"9547","0","0","0","0","77","53","37","73","407","154","381","375","197","103","379","375","422","391"
"9698","0","0","0","0","0","0","0","2","1","2","0","1","6","0","4","35","71","74"
"9711","0","0","0","0","47","181","307","284","489","242","265","180","136","63","93","94","116","133"
"10872","0","0","0","0","0","3","22","102","106","107","179","203","78","20","52","47","17","63"
"11623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","392","457","301"
"11756","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86"
"11770","0","0","0","0","0","0","46","81","300","410","586","588","428","210","495","407","544","429"
"11853","0","0","0","0","0","0","0","0","0","0","0","12","40","89","108","61","118","87"
"12465","0","0","0","0","0","33","51","81","77","153","142","70","43","32","78","69","61","71"
"13401","0","0","0","0","0","64","32","19","35","106","485","407","169","41","192","143","134","159"
"14196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","95","128","103"
"14807","0","0","0","0","0","0","0","0","0","0","0","23","32","33","123","58","53","102"
"14897","0","0","0","0","0","17","4","49","22","12","75","136","55","56","136","83","139","80"
"15998","0","0","0","0","0","0","0","0","0","0","17","105","66","48","137","81","70","108"
"16995","0","0","0","0","0","0","0","6","5","51","366","1402","548","366","1017","237","173","231"
"17095","0","0","0","0","0","185","222","168","238","127","159","146","70","129","400","290","277","279"
"17724","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81"
"18081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172","578","641"
"18373","0","0","0","0","0","54","130","76","38","41","140","84","58","28","89","138","206","265"
"18964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","329","212","176"
"19464","0","0","0","0","0","0","0","414","747","633","957","1172","985","798","1739","1884","2337","2109"
"19575","0","0","0","0","0","0","69","225","171","348","449","236","100","141","372","290","424","293"
"19789","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","166"
"19921","0","0","0","0","0","0","0","0","0","0","0","169","45","85","194","126","118","68"
"20442","0","0","0","0","0","0","94","459","605","594","1075","1325","808","757","1916","1876","2562","2108"
"20492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","375","661","666"
"20593","0","0","0","0","0","0","187","254","197","117","243","203","196","191","535","431","426","332"
"21066","0","0","0","0","0","0","0","0","0","0","1","4","3","0","50","60","79","83"
"21162","0","0","0","0","0","0","0","0","3","0","0","0","0","33","82","80","59","89"
"21632","0","0","0","0","0","0","0","0","24","14","29","25","15","24","25","29","523","516"
"21968","0","0","0","0","0","0","41","142","172","84","159","162","108","51","129","71","133","109"
"23301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","83","86","63"
"23443","0","0","0","0","0","0","0","27","118","137","193","163","158","50","61","86","51","64"
"23483","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","73","74","65"
"23502","0","0","0","0","0","0","65","161","145","68","50","94","56","31","75","64","58","66"
"23836","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","37","73","82"
