"21","0","8&554.00","1&89.00","24&994.28","10&1259.00","45&5400.00","32&2739.60","60&5943.40","60&8753.70","31&3170.10","25&2141.60","40&3121.30","34&3465.50","5&406.80","0","0","0","0","0"
"4521","0","0","0","0","0","0","2&145.00","36&2746.00","20&1602.30","26&2151.10","21&1713.30","20&1447.10","27&1179.20","11&785.70","52&4187.40","41&3906.00","64&5978.60","69&5741.10","54&4139.60"
"4530","0","0","0","0","0","0","0","0","0","3&189.70","10&607.30","8&756.60","1&139.00","6&421.60","41&3735.00","15&1288.30","10&1092.00","14&978.20","18&1951.90"
"4640","0","0","0","0","0","0","0","13&1113.10","10&715.20","24&1787.60","10&857.40","11&842.70","1&96.00","7&609.80","3&259.00","3&284.70","15&1628.50","11&1027.40","2&256.00"
"4655","0","0","0","0","0","0","0","0","0","0","0","15&1606.70","13&1107.30","8&1045.00","1&113.00","0","1&128.00","1&189.80","0"
"4858","0","0","0","0","0","0","0","0","24&2438.70","9&1172.80","11&1517.50","11&746.60","0","5&1286.80","24&2036.80","28&2795.60","14&916.10","35&3480.00","28&2558.20"
"4874","0","0","0","0","0","0","0","0","0","0","0","0","0","6&419.40","46&4500.20","32&3019.20","42&4611.80","28&2733.50","30&2956.20"
"4879","0","0","0","0","0","0","0","0","0","0","10&753.30","416&46073.20","232&26697.20","172&18047.70","363&37140.20","246&24719.70","284&30095.30","309&29279.50","206&20978.10"
"4880","0","0","0","0","0","0","0","0","44&4367.50","33&2824.20","123&10225.00","203&18527.40","79&8570.90","72&7250.80","151&13270.40","152&14870.20","160&15672.10","95&8605.60","88&7827.60"
"4884","0","0","0","0","0","0","0","0","0","0","37&3676.20","41&4202.00","37&5306.60","21&2039.60","27&2879.20","34&3590.60","13&1099.30","21&1858.60","24&1817.90"
"4890","0","0","0","0","0","0","0","0","0","0","0","13&1372.70","51&4843.50","17&1524.30","65&5436.70","45&4065.60","29&2332.90","5&483.80","7&549.10"
"4898","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&530.00","2&354.80"
"4907","0","0","0","0","0","0","0","0","0","0","3&336.00","9&899.60","17&1628.30","9&915.50","25&2442.30","22&2153.20","23&1887.20","12&989.70","8&616.60"
"4908","0","0","0","0","0","0","0","0","0","0","0","3&338.50","1&176.00","0","1&89.90","0","0","2&169.70","1&252.00"
"4947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&527.70","22&2065.30","8&820.70"
"4964","0","0","0","0","0","0","0","0","0","0","0","0","0","1&78.00","24&1418.70","12&928.30","1&85.00","18&2182.80","3&258.80"
"4971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&66.60","1&89.00","1&99.90"
"5130","0","0","0","0","32&3026.00","15&1768.00","12&1046.80","24&2084.60","16&1598.30","28&2144.70","51&4660.30","33&3063.90","15&1922.00","21&2387.30","43&4592.10","48&4266.60","43&4636.20","16&1388.20","12&1100.50"
"5356","0","0","0","0","0","0","0","0","12&984.90","29&2566.30","14&1020.70","3&258.80","12&983.50","12&1071.50","7&904.90","14&1286.30","29&2865.20","29&2619.50","16&1267.40"
"5695","0","0","0","0","0","0","0","0","0","0","0","0","0","2&138.00","17&1323.00","6&540.30","6&605.80","4&315.80","0"
"5751","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79&7096.30","85&6962.90"
"5795","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4&324.00"
"5819","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19&1762.60","36&3500.90"
"5820","0","0","0","0","0","0","0","1&79.00","6&295.60","3&134.70","3&209.70","0","0","3&312.90","48&3928.80","39&4239.20","35&3627.00","63&6203.30","46&5065.10"
